Date,Open,High,Low,Close,Adj Close,Volume
2018-04-11,154400,156200,153800,154200,153793.125,308250
2018-04-12,153800,154200,151000,151400,151000.5156,559025
2018-04-13,151600,153200,150600,152800,152396.8125,341355
2018-04-16,153000,153000,150000,150200,149803.6719,392100
2018-04-17,150800,151600,149000,149600,149205.2656,442125
2018-04-18,150200,151600,150000,150400,150003.1563,416345
2018-04-19,148400,149600,146800,147600,147210.5313,622595
2018-04-20,147600,149000,145200,145600,145215.8125,479485
2018-04-23,145400,147600,145400,147000,146612.125,312160
2018-04-24,147000,147000,144400,145000,144617.3906,497990
2018-04-25,145200,150200,144800,148600,148207.8906,618915
2018-04-26,146400,149200,145000,145000,144617.3906,1071125
2018-04-27,145000,145400,142400,143200,142822.1406,1049185
2018-04-30,144200,144200,142400,143200,142822.1406,398655
2018-05-02,145200,147800,144800,147600,147210.5313,509325
2018-05-03,147800,149000,145200,145400,145016.3438,316640
2018-05-04,145000,147000,143400,143400,143021.625,511785
2018-05-08,145400,147600,144200,146200,145814.2344,487275
2018-05-09,146000,148000,144600,145400,145016.3438,475655
2018-05-10,146000,147000,143600,144000,143620.0313,416805
2018-05-11,144200,145800,142800,143400,143021.625,547725
2018-05-14,144000,144400,142800,143400,143021.625,288745
2018-05-15,142800,143600,142200,142200,141824.7813,399725
2018-05-16,142400,143000,139600,140000,139630.5938,620065
2018-05-17,140000,140600,139400,139400,139032.1719,461815
2018-05-18,139400,140000,136800,137600,137236.9219,565205
2018-05-21,137200,138000,135200,136400,136040.0938,505590
2018-05-23,136000,137600,135400,136800,136439.0313,430280
2018-05-24,136400,137000,135600,136000,135641.1406,222435
2018-05-25,137000,138800,136400,137000,136638.5,378775
2018-05-28,137000,137400,135800,136000,135641.1406,270430
2018-05-29,135800,136000,133400,133600,133247.4844,467685
2018-05-30,133400,134000,129600,130400,130055.9219,669825
2018-05-31,132000,134200,130800,133800,133446.9531,1050965
2018-06-01,134800,137200,134400,136000,135641.1406,457305
2018-06-04,136200,137400,134200,134600,134244.8438,409355
2018-06-05,135600,136000,132800,134800,134444.3125,335760
2018-06-07,135000,136400,134800,136000,135641.1406,390905
2018-06-08,136000,141600,136000,140200,139830.0625,941455
2018-06-11,140200,142400,139000,142200,141824.7813,689250
2018-06-12,142400,143800,140800,143400,143021.625,621335
2018-06-14,143800,145000,141000,141400,141026.8906,794555
2018-06-15,141000,141200,137400,138000,137635.875,701510
2018-06-18,138000,139000,137200,138800,138433.75,529295
2018-06-19,138000,138800,137600,137600,137236.9219,551610
2018-06-20,137800,138400,137400,137800,137436.3906,532395
2018-06-21,137000,140600,136800,139800,139431.125,589410
2018-06-22,138000,144800,138000,144600,144218.4531,801570
2018-06-25,145600,150000,145400,149600,149205.2656,1276330
2018-06-26,148400,149200,146000,147000,146612.125,537640
2018-06-27,149400,149600,147800,147800,147410.0156,436380
2018-06-28,147600,150200,145200,149400,149005.7813,682685
2018-06-29,150000,152800,149600,152600,152197.3438,779575
2018-07-02,153000,153000,149000,150200,149803.6719,539590
2018-07-03,151800,152600,148600,149400,149005.7813,431525
2018-07-04,153800,155800,152000,153600,153194.7031,899695
2018-07-05,151200,153800,151200,153000,152596.2813,286595
2018-07-06,151000,151600,149200,149800,149404.7344,409335
2018-07-09,149800,155800,149600,151000,150601.5625,471880
2018-07-10,151400,153600,151200,152000,151598.9219,375645
2018-07-11,152600,154200,151400,153800,153394.1719,434425
2018-07-12,155000,156400,152800,156400,155987.3125,479835
2018-07-13,156000,156400,153000,154200,153793.125,379850
2018-07-16,154200,154600,153400,154200,153793.125,288625
2018-07-17,153800,153800,151000,151800,151399.4531,264885
2018-07-18,152400,154200,151800,152800,152396.8125,158810
2018-07-19,154400,156000,152600,153000,152596.2813,252110
2018-07-20,153000,154400,151000,154000,153593.6563,252245
2018-07-23,154200,155400,153000,154800,154391.5313,407150
2018-07-24,155000,155200,148400,149000,148606.8438,422515
2018-07-25,151800,151800,148400,149200,148806.3125,472905
2018-07-26,150400,152200,143200,150200,149803.6719,1121260
2018-07-27,147000,150200,146600,150200,149803.6719,569095
2018-07-30,149400,149600,145200,146000,145614.7656,543330
2018-07-31,145200,145600,142400,143200,142822.1406,618420
2018-08-01,143600,145600,143000,145600,145215.8125,514795
2018-08-02,145600,147600,144200,145600,145215.8125,404885
2018-08-03,144600,146200,144200,146200,145814.2344,534385
2018-08-06,146600,149600,146200,147000,146612.125,303035
2018-08-07,148400,150800,147200,148800,148407.375,324185
2018-08-08,148400,151200,148400,150000,149604.2031,312410
2018-08-09,150600,155800,149000,155800,155388.9063,665170
2018-08-10,155400,156400,154000,154200,153793.125,345420
2018-08-13,153400,153400,150000,151000,150601.5625,418340
2018-08-14,152000,153400,150800,151400,151000.5156,308015
2018-08-16,150000,152600,149000,150000,149604.2031,570495
2018-08-17,150800,153600,149600,151000,150601.5625,193900
2018-08-20,152800,153200,150600,151000,150601.5625,194680
2018-08-21,150800,152200,149400,149400,149005.7813,241605
2018-08-22,149400,149600,148200,149400,149005.7813,239675
2018-08-23,151000,154600,150400,154400,153992.5938,495420
2018-08-24,154200,155800,151000,151600,151199.9844,271300
2018-08-27,152600,155000,152000,153800,153394.1719,223740
2018-08-28,154400,154400,150600,151200,150801.0313,233335
2018-08-29,151200,152000,149600,149600,149205.2656,274750
2018-08-30,149600,151400,149000,149200,148806.3125,238975
2018-08-31,149400,151200,149200,150400,150003.1563,289765
2018-09-03,150600,151000,149400,150800,150402.0938,156035
2018-09-04,151400,151400,149800,151000,150601.5625,187280
2018-09-05,150600,150600,145400,147200,146811.5938,591425
2018-09-06,147200,148000,145400,146000,145614.7656,352455
2018-09-07,146400,147000,144400,146400,146013.7031,322865
2018-09-10,144000,146400,144000,145000,144617.3906,359830
2018-09-11,144600,146200,144400,145200,144816.875,292970
2018-09-12,146000,146800,145200,146000,145614.7656,291080
2018-09-13,147000,147000,144600,144600,144218.4531,514055
2018-09-14,145200,146600,144800,146000,145614.7656,365840
2018-09-17,145000,146200,144600,145600,145215.8125,269755
2018-09-18,144000,145800,144000,145000,144617.3906,277260
2018-09-19,145200,146800,145000,146200,145814.2344,276430
2018-09-20,144400,146800,144400,146200,145814.2344,287195
2018-09-21,148200,148600,144600,145000,144617.3906,375655
2018-09-27,143000,146000,142400,142600,142223.7344,390075
2018-09-28,143400,143800,142600,143200,142822.1406,487325
2018-10-01,143600,144400,142200,142600,142223.7344,211085
2018-10-02,143000,143000,137200,137800,137436.3906,744920
2018-10-04,140000,140400,137000,139000,138633.2344,353485
2018-10-05,136400,143200,136400,140800,140428.4844,427980
2018-10-08,140800,140800,140800,140800,140428.4844,0
2018-10-10,140800,140800,140800,140800,140428.4844,0
2018-10-11,140800,140800,140800,140800,140428.4844,0
2018-10-12,138000,142000,132500,142000,141625.3125,654013
2018-10-15,138500,139000,135000,136000,135641.1406,642772
2018-10-16,137500,138500,130000,133500,133147.7344,575704
2018-10-17,132500,134500,129500,130000,129656.9766,5304519
2018-10-18,128000,128000,123500,125000,124670.1719,880738
2018-10-19,124500,127500,124000,127500,127163.5703,1114452
2018-10-22,127500,130000,125500,129000,128659.6172,324730
2018-10-23,129000,130000,123500,125500,125168.8516,822259
2018-10-24,127500,129000,124500,127000,126664.8906,679196
2018-10-25,120500,121000,114000,119000,118686,1529110
2018-10-26,119000,119000,110000,113000,112701.8359,1544405
2018-10-29,112500,113500,109000,109500,109211.0703,649910
2018-10-30,108000,112000,104000,110500,110208.4297,939865
2018-10-31,110500,115000,108500,114500,114197.875,1016429
2018-11-01,113500,116500,110500,111500,111205.7891,805655
2018-11-02,111500,118500,111500,116500,116192.6016,1320415
2018-11-05,115000,115500,111500,113500,113200.5156,442640
2018-11-06,114000,117500,113500,117000,116691.2813,453810
2018-11-07,117500,119000,113500,115500,115195.2344,385827
2018-11-08,118000,120000,115500,116500,116192.6016,404191
